manager_id,name,salary
223,Derrick Erickson,51505
409,Belle Whelan,65043
361,Erica Gaines,51708
230,Ari Lambert,53107
125,Mamie Madden,53558
195,Nabila Emerson,74112
359,Laurie Forbes,43586
352,Amalie Ortega,57824
188,Kabir Chandler,48024
472,Cillian Giles,37606
442,Yash Dunn,66343
334,Simrah Cruz,42282
270,Hettie O'Brien,36385
377,Mandeep Fuller,42359
159,Taslima Bowler,36224
437,Leilani Odling,39017
226,Ottilie Pearce,47490
432,Bethanie Rivers,46042
342,Darryl Compton,50631
165,Samira Frye,63994
