waiter_id,name,salary
235,Louise Trevino,17096
426,Millicent Lambert,14167
273,Michel Johns,21312
388,Belinda Hammond,22838
377,Jon Gonzalez,22713
418,Reginald Robinson,15029
229,Jere Case,22951
451,Krista Lyons,17150
156,Colton Page,19260
169,Jenny Douglas,19864
176,Terrell Vincent,21592
258,Gonzalo Hoover,20152
306,Lenny Keller,17385
398,Brittany Paul,20357
170,Velma Blanchard,16318
135,Basil Goodwin,22535
197,Emma Johnson,17177
482,Timmy Townsend,21302
154,Merle Mayer,19180
370,Lucius Tucker,20727
